Works / Goods,Region,Location,Sector,Project,Funding Stage,Amount,Expenditure,Initial Phase Status,Procurement Phase Status,Contract Signing, Implementation Phase Status,Site handover date,Start Date,Actual completion date,Overall Status ,Type,Project ID,Latitude,Longitude,Donor,Implementation_duration
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,39672.13471,39672.13471,Completed,PO + Contract issuance done,7/25/2018,Substantial completion / handover done,9/6/2017 0:00,9/13/2017 0:00,12/25/2018,Completed,School,98720,31.20520556,16.59715833,Germany,153
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,43275.21076,43087.79941,Completed,PO + Contract issuance done,11/16/2017,Substantial completion / handover done,12/2/2017 0:00,12/9/2017 0:00,7/28/2018,Completed,School,98720,31.20671667,16.58765556,Germany,254
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,81050.64161,81050.64161,Completed,PO + Contract issuance done,11/9/2017,Substantial completion / handover done,11/19/2017 0:00,11/26/2017 0:00,3/25/2018,Completed,School,98720,31.21010556,16.57031944,Germany,136
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,58317.76477,58317.76477,Completed,PO + Contract issuance done,12/17/2017,Substantial completion / handover done,12/25/2017 0:00,1/1/2018 0:00,4/24/2018,Completed,School,98720,31.20994722,16.58622222,EU,128
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,198566.2847,198496.8897,Completed,PO + Contract issuance done,11/8/2018,Substantial completion / handover done,11/30/2018 0:00,12/4/2018 0:00,4/4/2019,Completed,School,98720,31.17784444,16.59665278,Canada,147
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,30779.84541,30692.63585,Completed,PO + Contract issuance done,11/13/2018,Substantial completion / handover done,11/30/2018 0:00,12/7/2018 0:00,3/15/2019,Completed,School,112158,31.18740278,16.417525,EU,122
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,177684.7519,177684.7519,Completed,PO + Contract issuance done,5/27/2019,Substantial completion / handover done,6/11/2019 0:00,,10/20/2019,Completed,School,112158,31.20734167,16.57907222,EU,146
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,190090.894,190090.894,Completed,PO + Contract issuance done,11/13/2018,Substantial completion / handover done,11/28/2018 0:00,12/6/2018 0:00,4/14/2019,Completed,School,98720,31.20665556,16.56042778,Norway,152
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,36440.28095,36440.28095,Completed,PO + Contract issuance done,12/11/2018,Substantial completion / handover done,12/31/2018 0:00,1/7/2019 0:00,3/27/2019,Completed,Other Educational building,98720,31.19923056,16.59396389,UK,106
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,190689.5227,190689.5227,Completed,PO + Contract issuance done,5/27/2019,Substantial completion / handover done,9/2/2019 0:00,9/9/2019 0:00,12/25/2019,Completed,Other Educational building,112158,31.20928056,16.58690833,EU,212
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,224318.402,224318.402,Completed,PO + Contract issuance done,5/21/2019,Substantial completion / handover done,,6/3/2019 0:00,12/8/2019,Completed,Other Educational building,112158,31.20883611,16.57091111,Netherlands,201
Goods ,West,Sirt,Health ,Supply of Ambulances,Phase 1,65089.03482,82620.93854,Completed,PO + Contract issuance done,2/1/2017,Substantial completion / handover done,,,12/31/2017,Completed,Ambulance,98720,31.18376111,16.58434722,,333
Goods ,West,Sirt,Health ,Supply of Medical Waste incinerator,Phase 1,44166.1126,46403.56618,Completed,PO + Contract issuance done,11/3/2017,Substantial completion / handover done,,,12/31/2017,Completed,Incinerator,98720,31.18376111,16.58434722,UK,58
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,22486.07662,100282.431,Completed,PO + Contract issuance done,5/20/2019,Substantial completion / handover done,,,10/17/2019,Completed,School,112158,31.38858611,13.75673611,EU,150
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,24729.74326,0,Completed,PO + Contract issuance done,5/20/2019,Substantial completion / handover done,,,10/17/2019,Completed,School,112158,31.75194444,14.01852778,EU,150
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,32171.56958,0,Completed,PO + Contract issuance done,5/20/2019,Substantial completion / handover done,,,10/17/2019,Completed,School,112158,31.75006111,14.01518333,EU,150
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,33698.01547,30328.21392,Completed,PO + Contract issuance done,5/4/2019,Substantial completion / handover done,7/21/2019 0:00,,11/26/2019,Completed,School,112158,31.74561944,14.00970278,EU,206
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,26253.03442,23627.73098,Completed,PO + Contract issuance done,5/4/2019,Substantial completion / handover done,7/21/2019 0:00,,11/26/2019,Completed,School,112158,31.830625,14.08754167,EU,206
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,36574.42255,32916.9803,Completed,PO + Contract issuance done,5/4/2019,Substantial completion / handover done,7/21/2019 0:00,,11/26/2019,Completed,School,112158,31.73271667,14.48505833,EU,206
Works ,West,Bani Walid,Health ,Rehabilitation of Clinic,Phase 1,54801.14248,54801.14248,Completed,PO + Contract issuance done,10/12/2018,Substantial completion / handover done,10/16/2018 0:00,10/23/2018 0:00,1/2/2019,Completed,Other health building,98720,31.75860278,14.02846111,USA,82
Works ,West,Bani Walid,Education ,Rehabilitation of School,Phase 1,46925.90172,46925.90172,Completed,PO + Contract issuance done,11/16/2018,Substantial completion / handover done,12/5/2018 0:00,12/12/2018 0:00,2/5/2019,Completed,School,112158,31.77497222,13.99588889,USA,81
Goods ,West,Bani Walid,Health ,Supply of Ambulances,Phase 1,72330.50885,80254.1786,Completed,PO + Contract issuance done,2/1/2018,Substantial completion / handover done,,,12/31/2018,Completed,Ambulance,98720,31.75635,14.02678,South Korea,333
Goods ,West,Bani Walid,Health ,Supply of Generators,Phase 1,127786.2971,138652.4547,Completed,PO + Contract issuance done,4/1/2017,Substantial completion / handover done,,,2/15/2018,Completed,Generator,98720,31.75697222,14.02686111,Germany,320
Goods ,West,Bani Walid,Health ,Supply of Generators,Phase 1,36197.9821,36197.9821,Completed,PO + Contract issuance done,7/1/2017,Substantial completion / handover done,,,5/24/2018,Completed,Generator,98720,31.756525,14.02769167,Germany,327
Works ,West,Bani Walid,Health ,Rehabilitation of Hospital,Phase 1,372308.841,332563.0477,Completed,PO + Contract issuance done,11/8/2019,Substantial completion / handover done,8/9/2020 0:00,8/19/2020 0:00,3/15/2021,Completed,Hospital,112158,31.75683333,14.02763889,Germany,493
Goods ,West,Bani Walid,Health ,Supply of Ambulances,Phase 1,25069.38919,32222.65487,Completed,PO + Contract issuance done,2/1/2018,Substantial completion / handover done,,,12/31/2018,Completed,Ambulance,98720,31.75635,14.02678,South Korea,333
Goods ,West,Bani Walid,Health ,Supply of Generators,Phase 1,103892.803,52865.60496,Completed,PO + Contract issuance done,2/17/2019,Substantial completion / handover done,,,10/3/2019,Completed,Water Pump,98720,31.756525,14.02769167,USA,228
Goods ,West,Bani Walid,Solid Waste Management,Supply of Garbage Trucks,Phase 1,163907.0147,209406.7385,Completed,PO + Contract issuance done,4/1/2017,Substantial completion / handover done,,,2/8/2018,Completed,Garbage truck,98720,31.73072,14.04922,Germany,313
Goods ,West,Bani Walid,Public Infrastructure and Services,Supply of Generators,Phase 1,34328.485,34328.485,Completed,PO + Contract issuance done,7/1/2017,Substantial completion / handover done,,,5/24/2018,Completed,Generator,98720,31.75615278,14.02215278,Germany,327
Goods ,West,Bani Walid,WASH,Supply of Pesticide Sprayer Trucks,Phase 1,40108.22758,36679.85181,Completed,PO + Contract issuance done,3/28/2018,Substantial completion / handover done,,,12/31/2018,Completed,Pesticide Sprayer,98720,31.75129,13.9893,EU,278
Goods ,West,Bani Walid,WASH,Supply of Water Pumps,Phase 1,188132.6661,171833.696,Completed,PO + Contract issuance done,6/24/2018,Substantial completion / handover done,,,4/1/2019,Completed,Water Pump,98720,31.75222778,14.01996111,Italy,281
Goods ,West,Bani Walid,WASH,Supply of Water Pumps,Phase 1,4014.602071,3864.61021,Completed,PO + Contract issuance done,6/24/2018,Substantial completion / handover done,,,5/12/2019,Completed,Water Pump,98720,31.75222778,14.01996111,Italy,322
Goods ,West,Bani Walid,WASH,Supply of Generators,Phase 1,116435.076,0,Completed,PO + Contract issuance done,10/1/2018,Substantial completion / handover done,,,6/27/2019,Completed,Generator,,31.75222778,14.01996111,,269
Goods ,West,Bani Walid,WASH,Supply of Generators,Phase 1,20771.56926,20771.56926,Completed,PO + Contract issuance done,6/24/2018,Substantial completion / handover done,,,2/10/2019,Completed,Generator,98720,31.75222778,14.01996111,EU,231
Goods ,West,Bani Walid,WASH,Supply of Sewage Suction Trucks,Phase 1,128746.7868,118954.028,Completed,PO + Contract issuance done,6/5/2018,Substantial completion / handover done,,,4/3/2019,Completed,Sewage suction truck,98720,31.75222778,14.01996111,EU,302
Goods ,West,Bani Walid,Education ,Provision of Educational Equipment,Phase 1,36395.88894,39490.77058,Completed,PO + Contract issuance done,2/1/2018,Substantial completion / handover done,,,12/31/2018,Completed,Generator,98720,31.75449722,14.02550278,Germany,333
Works ,East,Benghazi ,Health ,Rehabilitation of Hospital,Phase 1,63702.14374,63702.14374,Completed,PO + Contract issuance done,5/12/2017,Substantial completion / handover done,5/23/2017 0:00,,9/27/2017,Completed,Hospital,98720,32.202982,20.180902,EU,138
Works ,East,Benghazi ,Health ,Rehabilitation of Clinic,Phase 1,21610.98571,21610.98571,Completed,PO + Contract issuance done,1/29/2017,Substantial completion / handover done,2/13/2017 0:00,,6/20/2017,Completed,Clinic,98720,32.050627,20.110338,Italy,142
Works ,East,Benghazi ,Health ,Rehabilitation of Clinic,Phase 1,24889.01864,24889.01864,Completed,PO + Contract issuance done,5/31/2017,Substantial completion / handover done,,,9/13/2017,Completed,Clinic,98720,32.029109,20.069583,France,105
Works ,East,Benghazi ,Health ,Rehabilitation of Clinic,Phase 1,64109.37096,64109.37096,Completed,PO + Contract issuance done,11/22/2016,Substantial completion / handover done,12/1/2016 0:00,,2/20/2017,Completed,Clinic,98720,32.05346,20.109337,Italy,90
Works ,East,Benghazi ,Public Infrastructure and Services,Rehabilitation of Public Building,Phase 1,59611.64991,59346.88554,Completed,PO + Contract issuance done,11/22/2016,Substantial completion / handover done,11/30/2016 0:00,,2/26/2017,Completed,Public Infrastructure,98720,32.098012,20.183908,Italy,96
Works ,East,Benghazi ,Public Infrastructure and Services,Rehabilitation of Public Building,Phase 1,21498.21298,21498.21298,Completed,PO + Contract issuance done,12/31/2016,Substantial completion / handover done,1/8/2017 0:00,,5/1/2017,Completed,Public Infrastructure,98720,32.113956,20.075614,Italy,121
Works ,East,Benghazi ,Public Infrastructure and Services,Rehabilitation of Public Infrastructure,Phase 1,81854.01884,81854.01884,Completed,PO + Contract issuance done,8/1/2017,Substantial completion / handover done,,,11/3/2017,Completed,Public Infrastructure,98720,32.106457,20.07919,Germany,94
Works ,East,Benghazi ,Education ,Rehabilitation of School,Phase 1,82857.14781,82857.14781,Completed,PO + Contract issuance done,6/14/2017,Substantial completion / handover done,,,10/10/2017,Completed,School,98720,32.05432,20.036658,Norway,118
Works ,East,Benghazi ,Energy ,Rehabilitation of Substation,Phase 1,57047.10255,57047.10255,Completed,PO + Contract issuance done,4/20/2017,Substantial completion / handover done,,,8/29/2017,Completed,Substation,98720,32.099005,20.13182,EU,131
Works ,East,Benghazi ,Energy ,Rehabilitation of Substation,Phase 1,135536.4762,135536.4762,Completed,PO + Contract issuance done,5/20/2017,Substantial completion / handover done,,,8/30/2017,Completed,Substation,98720,32.103881,20.154771,Japan,102
Goods ,East,Benghazi ,Solid Waste Management,Supply of Garbage Trucks,Phase 1,412574.3701,426068.0739,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/10/2016,Completed,Garbage truck,98720,,,Germany,313
Goods ,East,Benghazi ,Solid Waste Management,Supply of Garbage Bins,Phase 1,24457.44939,24457.44939,Completed,PO + Contract issuance done,10/1/2017,Substantial completion / handover done,,,7/26/2018,Completed,Garbage Bin,98720,,,Germany,298
Goods ,East,Benghazi ,Health ,Supply of Ambulances,Phase 1,70167.38347,252871.5261,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/5/2016,Completed,Ambulance,98720,32.07731111,20.09786944,Germany,308
Goods ,East,Benghazi ,Health ,Supply of Ambulances,Phase 1,42893.42794,,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/5/2016,Completed,Ambulance,98720,32.05098333,20.11073333,Germany,308
Goods ,East,Benghazi ,Health ,Supply of Ambulances,Phase 1,67281.75888,,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/5/2016,Completed,Ambulance,98720,32.11008611,20.08968056,Germany,308
Goods ,East,Benghazi ,Health ,Supply of Ambulances,Phase 1,81043.46581,,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/5/2016,Completed,Ambulance,98720,32.11398333,20.07553056,Germany,308
Goods ,East,Benghazi ,Health ,Supply of Ambulances,Phase 1,36325.80945,,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/5/2016,Completed,Ambulance,98720,32.01991111,20.12389722,Germany,308
Goods ,East,Benghazi ,Health ,Supply of Generators,Phase 1,35565.92722,35565.92722,Completed,PO + Contract issuance done,4/1/2016,Substantial completion / handover done,,,2/4/2017,Completed,Generator,98720,32.20312222,20.18058333,Germany,309
Goods ,East,Benghazi ,Public Infrastructure and Services,Supply of Generators,Phase 1,31202.06123,31202.06123,Completed,PO + Contract issuance done,4/1/2016,Substantial completion / handover done,,,2/1/2017,Completed,Generator,98720,32.113956,20.075614,Germany,306
Goods ,East,Benghazi ,Health ,Suppy of Medical Equipment,Phase 1,137656.0454,153218.8406,Completed,PO + Contract issuance done,6/30/2017,Substantial completion / handover done,,,12/31/2018,Completed,Medical Equipment,98720,32.05347222,20.10931389,Japan,549
Goods ,East,Benghazi ,Health ,Supply of Solar Panels,Phase 1,132320.1948,132320.1948,Completed,PO + Contract issuance done,8/24/2016,Substantial completion / handover done,,,12/31/2016,Completed,Solar Panels,98720,32.07731111,20.09786944,Germany,129
Goods ,East,Benghazi ,Health ,Supply of Solar Panels,Phase 1,104547.6456,104547.6456,Completed,PO + Contract issuance done,8/24/2016,Substantial completion / handover done,,,12/31/2016,Completed,Solar Panels,98720,32.07695,20.09265556,Germany,129
Goods ,East,Benghazi ,Health ,Supply of Solar Panels,Phase 1,103709.529,103709.529,Completed,PO + Contract issuance done,8/24/2016,Substantial completion / handover done,,,12/31/2016,Completed,Solar Panels,98720,32.11008611,20.08968056,Germany,129
Goods ,East,Benghazi ,Health ,Supply of Solar Panels,Phase 1,101892.1184,101892.1184,Completed,PO + Contract issuance done,8/24/2016,Substantial completion / handover done,,,12/31/2016,Completed,Solar Panels,98720,32.20312222,20.18058333,Germany,129
Goods ,East,Benghazi ,Public Infrastructure and Services,Supply of Vehicles,Phase 1,72661.66325,72661.66325,Completed,PO + Contract issuance done,6/6/2017,Substantial completion / handover done,,,12/31/2017,Completed,Vehicle,98720,32.11398333,20.07553056,Japan,208
Goods ,East,Benghazi ,Public Infrastructure and Services,Supply of Vehicles,Phase 1,27753.21659,27753.21659,Completed,PO + Contract issuance done,9/8/2017,Substantial completion / handover done,,,12/31/2017,Completed,Boat,98720,32.11398333,20.07553056,Germany,114
Works ,East,Benghazi ,Energy ,Supply and Installation of Solar Street Lights,Phase 1,644011.005,596021.0193,Completed,PO + Contract issuance done,4/20/2017,Substantial completion / handover done,,,9/1/2019,Completed,Solar Street Light,98720,32.006777,20.129686,EU,864
Goods ,East,Benghazi ,WASH,Supply of Sewage Pumps,Phase 1,209917.9152,206666.4776,Completed,PO + Contract issuance done,8/10/2017,Substantial completion / handover done,,,12/31/2018,Completed,Sewage Pump,98720,,,USA,508
Goods ,East,Benghazi ,WASH,Supply of Water Pumps,Phase 1,175389.6954,175389.6954,Completed,PO + Contract issuance done,8/14/2017,Substantial completion / handover done,,,12/31/2018,Completed,Water Pump,112158,32.07490278,20.23069722,USA,504
Goods ,East,Benghazi ,Health ,Supply of Generators,Phase 1,46846.73774,46846.73774,Completed,PO + Contract issuance done,4/1/2016,Substantial completion / handover done,,,2/1/2017,Completed,Generator,98720,32.0502,20.11005833,Germany,306
Goods ,East,Benghazi ,Health ,Supply of Generators,Phase 1,38443.64818,38443.64818,Completed,PO + Contract issuance done,4/1/2016,Substantial completion / handover done,,,2/1/2017,Completed,Generator,98720,32.01991111,20.12389722,Germany,306
Goods ,West,Kikla ,Health ,Supply of Ambulances,Phase 1,91831.44414,73772.87623,Completed,PO + Contract issuance done,4/1/2016,Substantial completion / handover done,,,2/1/2017,Completed,Ambulance,98720,32.065398,12.695327,Germany,306
Goods ,West,Kikla ,Health ,Suppy of Medical Equipment,Phase 1,229796.3655,229137.3214,Completed,PO + Contract issuance done,11/21/2018,Substantial completion / handover done,,,12/16/2019,Completed,Medical Equipment,98720,32.064526,12.690493,Norway,390
Works ,West,Kikla ,Health ,Rehabilitation of Hospital,Phase 1,242458.9372,242458.9372,Completed,PO + Contract issuance done,7/3/2017,Substantial completion / handover done,6/14/2017 0:00,6/21/2017 0:00,2/17/2018,Completed,Hospital,98720,32.064526,12.690493,Germany,229
Works ,West,Kikla ,Health ,Rehabilitation of Hospital,Phase 1,11350.91578,11350.91578,Completed,PO + Contract issuance done,3/7/2018,Substantial completion / handover done,3/30/2018 0:00,4/6/2018 0:00,5/8/2018,Completed,Other health building,98720,32.065092,12.690769,UK,62
Works ,West,Kikla ,Health ,Rehabilitation of Hospital,Phase 1,67748.88841,67748.88841,Completed,PO + Contract issuance done,5/22/2017,Substantial completion / handover done,6/4/2017 0:00,6/11/2017 0:00,10/11/2017,Completed,Hospital,98720,32.065043,12.689734,Japan,142
Goods ,West,Kikla ,Public Infrastructure and Services,Supply of Fire Fighting Trucks,Phase 1,122240.9885,127201.3473,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,11/17/2016,Completed,Firetruck,98720,32.065398,12.695327,Germany,290
Goods ,West,Kikla ,Public Infrastructure and Services,Supply of IT Equipment,Phase 1,10397.6038,10288.15533,Completed,PO + Contract issuance done,2/3/2017,Substantial completion / handover done,,,2/23/2017,Completed,IT equipment,98720,32.065398,12.695327,Italy,20
Goods ,West,Kikla ,Public Infrastructure and Services,Supply of Solar Power System,Phase 1,9555.497478,9555.497478,Completed,PO + Contract issuance done,12/29/2016,Substantial completion / handover done,,,12/31/2017,Completed,Solar backup,98720,32.065398,12.695327,Italy,367
Goods ,West,Kikla ,Public Infrastructure and Services,Supply of Sport Equipment,Phase 1,46842.07028,46842.07028,Completed,PO + Contract issuance done,5/1/2017,Substantial completion / handover done,,,2/9/2018,Completed,Sports equipment,98720,32.065398,12.695327,Germany,284
Works ,West,Kikla ,Public Infrastructure and Services,Rehabilitation of Public Building,Phase 1,44231.46871,44231.46871,Completed,PO + Contract issuance done,3/2/2017,Substantial completion / handover done,3/13/2017 0:00,3/20/2017 0:00,5/14/2017,Completed,Public Infrastructure,98720,32.02775,12.707803,EU,73
Goods ,West,Kikla ,Energy ,Provision of Power Cables,Phase 1,56751.49174,56751.49174,Completed,PO + Contract issuance done,5/1/2016,Substantial completion / handover done,,,2/1/2017,Completed,Generator,98720,32.065398,12.695327,Germany,276
Goods ,West,Kikla ,Education ,Provision of Educational Equipment,Phase 1,50964.93571,50964.93571,Completed,PO + Contract issuance done,10/18/2017,Substantial completion / handover done,,,12/31/2017,Completed,Educational equipment,98720,32.065398,12.695327,Germany,74
Goods ,West,Kikla ,Education ,Provision of Educational Equipment,Phase 1,,,Completed,PO + Contract issuance done,10/18/2017,Substantial completion / handover done,,,12/31/2017,Completed,Educational equipment,98720,32.065398,12.695327,Germany,74
Goods ,West,Kikla ,Education ,Provision of Educational Equipment,Phase 1,19649.28881,19649.28881,Completed,PO + Contract issuance done,2/2/2017,Substantial completion / handover done,,,12/31/2017,Completed,Educational equipment,98720,32.065398,12.695327,Italy,332
Goods ,West,Kikla ,Education ,Provision of Educational Equipment,Phase 1,59775.65874,59775.65874,Completed,PO + Contract issuance done,5/1/2016,Substantial completion / handover done,,,2/1/2017,Completed,Educational equipment,98720,32.065398,12.695327,Germany,276
Goods ,West,Kikla ,Education ,Provision of Educational Equipment,Phase 1,12380.97211,12380.97211,Completed,PO + Contract issuance done,10/2/2017,Substantial completion / handover done,,,7/31/2018,Completed,Educational equipment,98720,32.065398,12.695327,EU,302
Works ,West,Kikla ,Education ,Rehabilitation of University,Phase 1,75085.06745,75085.06745,Completed,PO + Contract issuance done,3/2/2017,Substantial completion / handover done,3/13/2017 0:00,3/20/2017 0:00,5/24/2017,Completed,University,98720,32.057995,12.697726,EU,83
Works ,West,Kikla ,Education ,Rehabilitation of University,Phase 1,10835.79796,10835.79796,Completed,PO + Contract issuance done,3/7/2018,Substantial completion / handover done,3/30/2018 0:00,4/6/2018 0:00,5/8/2018,Completed,Other Educational building,98720,32.059028,12.696137,UK,62
Goods ,West,Kikla ,Education ,Provision of Educational Equipment,Phase 1,2571.579631,2571.579631,Completed,PO + Contract issuance done,2/13/2017,Substantial completion / handover done,,,2/23/2017,Completed,Educational equipment,98720,32.065398,12.695327,Germany,10
Works ,South,Sebha ,Education ,Rehabilitation of University,Phase 1,77277.67241,77237.6271,Completed,PO + Contract issuance done,11/30/2017,Substantial completion / handover done,12/15/2017 0:00,12/24/2017 0:00,10/2/2018,Completed,Other Educational building,98720,27.04464722,14.4386,Denmark,306
Works ,South,Sebha ,Education ,Rehabilitation of University,Phase 1,43322.52218,47654.77439,Completed,PO + Contract issuance done,7/11/2017,Substantial completion / handover done,7/22/2017 0:00,7/29/2017 0:00,7/1/2018,Completed,University,98720,27.03950278,14.4434,Germany,355
Goods ,South,Sebha ,WASH,Supply of Sewage Pumps,Phase 1,315980.9816,266328.2642,Completed,PO + Contract issuance done,6/21/2018,Substantial completion / handover done,,,9/14/2019,Completed,Water Pump,98720,refer to list,refer to list,France,450
Goods ,South,Sebha ,WASH,Supply of Generators,Phase 1,274942.4398,274942.4398,Completed,PO + Contract issuance done,6/19/2018,Substantial completion / handover done,,,9/2/2019,Completed,Generator,98720,refer to list,refer to list,EU,440
Works ,South,Sebha ,WASH,Supply of Generators,Phase 1,169184.8762,169184.9411,Completed,PO + Contract issuance done,3/10/2019,Substantial completion / handover done,3/20/2019 0:00,3/30/2019 0:00,8/10/2019,Completed,Public Infrastructure,112158,refer to list,refer to list,EU,153
Goods ,South,Sebha ,WASH,Supply of Sewage Pumps,Phase 1,109439.5069,109519.0356,Completed,PO + Contract issuance done,5/23/2018,Substantial completion / handover done,,,8/27/2019,Completed,Sewage Pump,98720,27.04043889,14.42946389,EU,461
Goods ,South,Sebha ,WASH,Supply of Sewage Pumps,Phase 1,151431.2888,129235.7304,Completed,PO + Contract issuance done,9/24/2018,Substantial completion / handover done,,,8/28/2019,Completed,Sewage Pump,98720,27.04228611,14.43942222,USA,338
Works ,South,Sebha ,Education ,Rehabilitation of School,Phase 1,224243.4156,0,Completed,Advertisement period ongoing,,,,,,With Procurement,School,112158,"27.0266333333333
27.0360833333333
27.0334138888889
27.0401583333333
27.0456
27.0222","14.4330194444444
14.411175
14.4601861111111
14.4233194444444
14.4361944444444
14.4569416666667",Norway,
Goods ,South,Sebha ,Health ,Supply of Freezers,Phase 1,37105.76128,36847.36461,Completed,PO + Contract issuance done,2/22/2018,Substantial completion / handover done,,,12/31/2018,Completed,Freezers,98720,27.02622778,14.43825,EU,312
Works ,South,Sebha ,Health ,Rehabilitation of Clinic,Phase 1,23418.24932,23362.27002,Completed,PO + Contract issuance done,12/3/2017,Substantial completion / handover done,12/15/2017 0:00,12/23/2017 0:00,2/1/2018,Completed,Hospital,98720,27.02494167,14.43975556,Germany,60
Works ,South,Ubari,Education ,Rehabilitation of School,Phase 1,383091.5783,382243.8043,Completed,PO + Contract issuance done,4/20/2017,Substantial completion / handover done,5/3/2017 0:00,5/10/2017 0:00,11/7/2017,Completed,School,98720,26.59466667,12.78001389,EU,201
